iter	Passed	Remaining
692	2083	923
693	2086	919
694	2088	916
695	2090	913
696	2095	910
697	2097	907
698	2100	904
699	2102	901
700	2104	897
701	2108	894
702	2110	891
703	2112	888
704	2114	884
705	2117	881
706	2119	878
707	2124	876
708	2126	872
709	2128	869
710	2130	865
711	2132	862
712	2134	859
713	2136	855
714	2140	853
715	2142	849
716	2144	846
717	2146	843
718	2148	839
719	2150	836
720	2155	834
721	2157	830
722	2159	827
723	2161	824
724	2164	821
725	2166	817
726	2171	815
727	2173	812
728	2176	809
729	2178	805
730	2180	802
731	2185	800
732	2188	797
733	2190	793
734	2193	790
735	2195	787
736	2200	785
737	2203	782
738	2206	779
739	2208	776
740	2211	772
741	2216	770
742	2219	767
743	2222	764
744	2224	761
745	2227	758
746	2232	756
747	2235	753
748	2237	749
749	2240	746
750	2242	743
751	2248	741
752	2250	738
753	2253	735
754	2255	732
755	2258	728
756	2264	726
757	2267	723
758	2269	720
759	2272	717
760	2277	715
761	2280	712
762	2282	709
763	2285	705
764	2287	702
765	2292	700
766	2295	697
767	2298	694
768	2300	691
769	2303	687
770	2308	685
771	2311	682
772	2314	679
773	2316	676
774	2318	673
775	2323	670
776	2326	667
777	2328	664
778	2330	661
779	2332	657
780	2334	654
781	2339	652
782	2341	648
783	2343	645
784	2345	642
785	2347	639
786	2349	635
787	2355	633
788	2357	630
789	2359	627
790	2361	623
791	2363	620
792	2365	617
793	2370	614
794	2372	611
795	2374	608
796	2376	605
797	2379	602
798	2381	599
799	2385	596
800	2387	593
801	2389	590
802	2391	586
803	2393	583
804	2395	580
805	2400	577
806	2403	574
807	2405	571
808	2407	568
809	2409	565
810	2411	562
811	2415	559
812	2418	556
813	2420	553
814	2422	549
815	2424	546
816	2426	543
817	2431	540
818	2433	537
819	2435	534
820	2437	531
821	2439	528
822	2441	525
823	2445	522
824	2447	519
825	2450	516
826	2452	512
827	2454	509
828	2456	506
829	2460	503
830	2462	500
831	2464	497
832	2466	494
833	2468	491
834	2470	488
835	2472	485
836	2476	482
837	2479	479
838	2481	476
839	2483	473
840	2485	469
841	2487	466
842	2492	464
843	2494	461
844	2496	457
845	2498	454
846	2500	451
847	2502	448
848	2507	445
849	2509	442
850	2511	439
851	2513	436
852	2516	433
853	2518	430
854	2522	427
855	2525	424
856	2527	421
857	2529	418
858	2532	415
859	2536	412
860	2539	409
861	2541	406
862	2543	403
863	2545	400
864	2547	397
865	2552	394
866	2554	391
867	2557	388
868	2560	385
869	2562	382
870	2564	379
871	2569	377
872	2572	374
873	2574	371
874	2577	368
875	2579	365
876	2584	362
877	2587	359
878	2589	356
879	2591	353
880	2594	350
881	2599	347
882	2601	344
883	2604	341
884	2606	338
885	2609	335
886	2614	333
887	2616	330
888	2619	327
889	2621	324
890	2623	320
891	2625	317
892	2630	315
893	2632	312
894	2634	309
895	2636	306
896	2638	302
897	2640	299
898	2645	297
899	2647	294
900	2650	291
901	2652	288
902	2654	285
903	2656	282
904	2660	279
905	2662	276
906	2664	273
907	2666	270
908	2669	267
909	2671	264
910	2673	261
911	2677	258
912	2679	255
913	2681	252
914	2683	249
915	2685	246
916	2690	243
917	2693	240
918	2696	237
919	2699	234
920	2704	232
921	2707	229
922	2710	226
923	2712	223
924	2715	220
925	2721	217
926	2724	214
927	2726	211
928	2729	208
929	2735	205
930	2738	202
931	2741	200
932	2744	197
933	2746	194
934	2751	191
935	2754	188
936	2757	185
937	2760	182
938	2763	179
939	2768	176
940	2771	173
941	2774	170
942	2776	167
943	2779	164
944	2784	162
945	2787	159
946	2789	156
947	2791	153
948	2793	150
949	2798	147
950	2801	144
951	2803	141
952	2805	138
953	2808	135
954	2813	132
955	2816	129
956	2818	126
957	2821	123
958	2824	120
959	2828	117
960	2831	114
961	2833	111
962	2836	108
963	2839	106
964	2844	103
965	2846	100
966	2848	97
967	2850	94
968	2852	91
969	2854	88
970	2858	85
971	2860	82
972	2862	79
973	2864	76
974	2866	73
975	2868	70
976	2870	67
977	2875	64
978	2877	61
979	2879	58
980	2880	55
981	2883	52
982	2885	49
983	2888	46
984	2891	44
985	2892	41
986	2895	38
987	2897	35
988	2899	32
989	2901	29
990	2905	26
991	2907	23
992	2909	20
993	2911	17
994	2913	14
995	2915	11
996	2918	8
997	2921	5
998	2923	2
999	2926	0
